,1,2,3,4,5,6,7,8,9,10,11,Year
0,Pistons,41,872902,21290,96.4,41,17127,107.8,82,19209,101.2,2004
1,Mavericks,41,825594,20136,--,41,17452,113.6,82,18794,244.6,2004
2,Bulls,41,809177,19736,90.9,41,16517,106.9,82,18126,97.6,2004
3,76ers,41,788128,19222,94.0,41,17672,114.0,82,18447,102.6,2004
4,NY Knicks,41,785739,19164,99.4,41,17589,109.8,82,18376,104.1,2004
5,Jazz,41,785330,19154,96.2,41,16537,114.9,82,17845,104.0,2004
6,Lakers,41,777757,18969,98.4,41,19380,134.4,82,19175,113.8,2004
7,Raptors,41,750608,18307,92.5,41,16480,105.8,82,17394,98.3,2004
8,Cavaliers,41,749790,18287,88.9,41,18755,121.2,82,18521,102.8,2004
9,Spurs,41,739706,18041,97.5,41,17347,119.9,82,17694,107.4,2004
10,Timberwolves,41,723071,17635,92.8,41,17862,123.7,82,17749,106.1,2004
11,Nuggets,41,721476,17596,--,41,17184,111.8,82,17390,226.4,2004
12,Kings,41,709997,17317,100.0,41,17813,122.7,82,17565,110.3,2004
13,Bucks,41,690180,16833,89.9,41,16213,104.1,82,16523,96.4,2004
14,Trail Blazers,41,684038,16683,83.5,41,16282,113.1,82,16483,95.9,2004
15,Pacers,41,678326,16544,90.2,41,17710,113.6,82,17127,101.0,2004
16,Suns,41,670385,16350,86.0,41,16461,114.0,82,16406,98.1,2004
17,Warriors,41,665648,16235,82.9,41,15885,110.2,82,16060,94.5,2004
18,Clippers,41,665396,16229,--,41,16258,108.8,82,16243,217.3,2004
19,Celtics,41,664248,16201,87.0,41,16955,109.3,82,16578,97.1,2004
20,Wizards,41,645363,15740,--,41,16008,96.9,82,15874,192.3,2004
21,Rockets,41,640794,15629,84.5,41,17768,122.9,82,16698,101.3,2004
22,Thunder,41,625474,15255,91.6,41,16842,115.9,82,16049,102.9,2004
23,Heat,41,624809,15239,77.8,41,16524,106.5,82,15881,90.4,2004
24,Grizzlies,41,622723,15188,--,41,16695,108.7,82,15941,207.5,2004
25,Nets,41,613051,14952,74.8,41,17358,111.9,82,16155,91.0,2004
26,Magic,41,589144,14369,83.3,41,16793,107.5,82,15581,94.8,2004
27,Pelicans,41,587613,14332,83.3,41,16679,106.6,82,15505,94.4,2004
28,Hawks,41,565728,13798,--,41,16282,98.9,82,15040,182.7,2004
29,Pistons,41,905116,22076,100.0,41,17868,110.8,82,19972,104.6,2005
30,Bulls,41,828384,20204,93.1,41,17334,107.2,82,18769,99.1,2005
31,Mavericks,41,822533,20061,--,41,17259,105.8,82,18660,228.8,2005
32,Heat,41,815143,19881,101.4,41,18891,116.3,82,19386,108.2,2005
33,NY Knicks,41,800144,19515,101.2,41,17540,104.7,82,18528,102.8,2005
34,Cavaliers,41,784249,19128,93.0,41,18275,109.5,82,18701,100.4,2005
35,Lakers,41,770494,18792,97.5,41,18810,121.8,82,18801,108.3,2005
36,Jazz,41,769014,18756,94.2,41,16923,109.7,82,17839,101.0,2005
37,Spurs,41,750970,18316,99.0,41,17419,113.0,82,17868,105.4,2005
38,76ers,41,732686,17870,87.4,41,17933,111.6,82,17902,98.1,2005
39,Suns,41,726066,17708,93.1,41,17570,114.1,82,17639,102.5,2005
40,Nuggets,41,723949,17657,--,41,17506,101.4,82,17582,203.7,2005
41,Kings,41,709997,17317,100.0,41,17702,110.9,82,17509,105.2,2005
42,Wizards,41,705069,17196,--,41,16862,98.5,82,17029,198.9,2005
43,Timberwolves,41,704438,17181,90.4,41,17874,116.0,82,17527,101.9,2005
44,Raptors,41,703388,17155,86.6,41,16677,100.1,82,16916,92.8,2005
45,Pacers,41,696764,16994,92.6,41,16895,104.3,82,16944,98.1,2005
46,Clippers,41,696181,16980,--,41,16735,99.3,82,16857,200.1,2005
47,Grizzlies,41,691362,16862,91.6,41,16621,107.4,82,16742,98.8,2005
48,Trail Blazers,41,680374,16594,83.1,41,16658,108.4,82,16626,94.1,2005
49,Thunder,41,675490,16475,96.5,41,17029,109.5,82,16752,102.7,2005
50,Warriors,41,670368,16350,83.4,41,16708,108.7,82,16529,94.5,2005
51,Rockets,41,663444,16181,87.5,41,18183,111.1,82,17182,98.6,2005
52,Celtics,41,656081,16001,85.9,41,17216,105.1,82,16609,94.9,2005
53,Bucks,41,637009,15536,83.0,41,16651,99.4,82,16094,90.8,2005
54,Nets,41,618681,15089,75.5,41,16624,102.9,82,15857,87.7,2005
55,Magic,41,597942,14583,84.6,41,17510,106.9,82,16047,95.4,2005
56,Hornets,41,591701,14431,60.6,41,16717,104.7,82,15574,78.3,2005
57,Hawks,41,586390,14302,--,41,16730,97.2,82,15516,180.3,2005
58,Pelicans,41,583070,14221,82.7,41,16690,107.6,82,15456,94.5,2005
59,Pistons,41,905116,22076,100.0,41,18637,123.9,82,20356,109.7,2006
60,Bulls,41,868720,21188,97.6,41,17397,119.6,82,19292,106.4,2006
61,Mavericks,41,824693,20114,--,41,17591,118.0,82,18853,252.9,2006
62,Heat,41,818149,19954,101.8,41,18991,129.5,82,19473,113.7,2006
63,Cavaliers,41,792391,19326,94.0,41,18800,124.5,82,19063,106.9,2006
64,NY Knicks,41,776176,18931,98.2,41,17572,120.2,82,18251,107.7,2006
65,Lakers,41,774189,18882,97.9,41,18812,130.1,82,18847,111.7,2006
66,Spurs,41,770677,18797,101.6,41,18376,130.3,82,18586,114.0,2006
67,Jazz,41,751621,18332,92.1,41,17048,122.1,82,17690,104.5,2006
68,Warriors,41,749185,18272,93.2,41,16775,112.7,82,17524,101.6,2006
69,Pelicans,41,744920,18168,1443.6,41,16659,105.2,82,17414,203.7,2006
70,Suns,41,730179,17809,93.6,41,17694,126.4,82,17751,107.5,2006
71,Clippers,41,712409,17375,--,41,16944,110.6,82,17160,223.9,2006
72,Kings,41,709997,17317,100.0,41,17101,117.9,82,17209,108.1,2006
73,Wizards,41,705062,17196,--,41,17291,110.7,82,17244,220.7,2006
74,Nuggets,41,702645,17137,--,41,17637,115.0,82,17387,226.6,2006
75,Raptors,41,699332,17056,86.1,41,16595,109.9,82,16826,96.4,2006
76,Celtics,41,692873,16899,90.7,41,17920,117.9,82,17409,102.9,2006
77,Nets,41,691543,16866,84.4,41,17710,120.3,82,17288,99.6,2006
78,Bucks,41,681337,16617,88.8,41,17119,112.8,82,16868,99.5,2006
79,76ers,41,677278,16518,80.8,41,18627,123.9,82,17573,99.1,2006
80,Hornets,41,671011,16366,--,41,17117,109.7,82,16741,214.7,2006
81,Thunder,41,664157,16198,94.9,41,17195,118.3,82,16697,105.7,2006
82,Pacers,41,663368,16179,88.2,41,17624,119.4,82,16902,102.1,2006
83,Timberwolves,41,662167,16150,85.0,41,17421,120.2,82,16785,100.2,2006
84,Grizzlies,41,647533,15793,85.8,41,17211,123.1,82,16502,101.9,2006
85,Magic,41,638005,15561,90.2,41,17084,116.2,82,16322,102.2,2006
86,Rockets,41,636110,15514,83.9,41,17554,125.5,82,16534,101.8,2006
87,Hawks,41,617942,15071,--,41,17067,109.5,82,16069,206.2,2006
88,Trail Blazers,41,617019,15049,75.3,41,17144,118.9,82,16097,93.6,2006
89,Bulls,41,912364,22252,102.5,41,18153,113.4,82,20202,107.1,2007
90,Pistons,41,905116,22076,100.0,41,18001,109.6,82,20038,104.1,2007
91,Cavaliers,41,837883,20436,99.4,41,18940,117.9,82,19688,107.5,2007
92,Mavericks,41,834411,20351,--,41,17821,106.6,82,19086,228.3,2007
93,Heat,41,808541,19720,100.6,41,18945,118.4,82,19332,108.6,2007
94,Jazz,41,802214,19566,98.3,41,17501,110.6,82,18533,103.7,2007
95,Lakers,41,778415,18985,98.5,41,18917,123.4,82,18951,109.5,2007
96,NY Knicks,41,771017,18805,97.5,41,17984,111.9,82,18394,104.0,2007
97,Spurs,41,764823,18654,100.8,41,17464,110.3,82,18059,105.2,2007
98,Suns,41,755302,18422,96.8,41,18541,120.1,82,18481,107.2,2007
99,Clippers,41,755261,18421,--,41,17406,103.5,82,17913,213.0,2007
100,Wizards,41,753283,18372,--,41,17270,101.5,82,17821,209.4,2007
101,Raptors,41,748603,18258,92.2,41,17347,107.7,82,17802,99.2,2007
102,Warriors,41,742267,18104,92.4,41,17012,107.4,82,17558,99.1,2007
103,Pelicans,41,731165,17833,92.3,41,16981,110.6,82,17407,100.4,2007
104,Kings,41,709997,17317,100.0,41,17282,112.0,82,17299,105.7,2007
105,Nuggets,41,706437,17230,--,41,18163,111.1,82,17696,216.4,2007
106,Magic,41,700887,17094,99.1,41,17470,108.5,82,17282,103.6,2007
107,Nets,41,693955,16925,84.7,41,17870,108.0,82,17398,95.2,2007
108,Celtics,41,690576,16843,90.4,41,17570,109.2,82,17206,99.1,2007
109,Rockets,41,678362,16545,89.4,41,18187,118.0,82,17366,102.4,2007
110,Trail Blazers,41,670778,16360,81.9,41,17558,114.5,82,16959,96.0,2007
111,Bucks,41,663629,16186,86.5,41,17350,107.8,82,16768,96.4,2007
112,Timberwolves,41,655947,15998,84.2,41,17894,112.6,82,16946,97.1,2007
113,Thunder,41,654163,15955,93.5,41,17445,112.5,82,16700,102.5,2007
114,Hawks,41,639375,15594,--,41,17170,100.7,82,16382,192.2,2007
115,Hornets,41,637520,15549,81.7,41,17477,108.5,82,16513,94.0,2007
116,Pacers,41,629750,15359,83.7,41,17802,107.2,82,16581,94.9,2007
117,76ers,41,608603,14843,72.6,41,17849,108.5,82,16346,88.6,2007
118,Grizzlies,41,600836,14654,79.6,41,17336,112.0,82,15995,94.4,2007
119,Pistons,41,905116,22076,100.0,41,17714,111.5,82,19895,104.8,2008
120,Bulls,41,901502,21987,101.3,41,17353,106.0,82,19670,103.3,2008
121,Cavaliers,41,839074,20465,99.5,41,17992,112.9,82,19228,105.4,2008
122,Mavericks,41,831738,20286,--,41,17716,105.9,82,19001,227.2,2008
123,Jazz,41,816211,19907,100.0,41,17215,112.9,82,18561,105.6,2008
124,Warriors,41,804864,19630,100.2,41,17255,112.6,82,18443,105.6,2008
125,Trail Blazers,41,801566,19550,97.8,41,16700,109.4,82,18125,102.9,2008
126,Heat,41,798004,19463,99.3,41,17503,109.8,82,18483,104.0,2008
127,Raptors,41,796835,19435,98.2,41,16653,103.6,82,18044,100.6,2008
128,NY Knicks,41,783739,19115,99.1,41,17429,108.9,82,18272,103.5,2008
129,Lakers,41,778877,18997,98.5,41,18671,118.5,82,18834,107.5,2008
130,Celtics,41,763584,18624,100.0,41,19042,115.6,82,18833,107.3,2008
131,Spurs,41,761149,18564,100.3,41,17954,113.9,82,18259,106.6,2008
132,Suns,41,755302,18422,96.8,41,18046,114.7,82,18234,104.9,2008
133,Wizards,41,736461,17962,--,41,16774,99.2,82,17368,205.4,2008
134,Rockets,41,718524,17524,94.7,41,17527,114.5,82,17526,103.7,2008
135,Nuggets,41,711962,17364,--,41,18115,111.1,82,17740,217.6,2008
136,Magic,41,709346,17301,100.3,41,17540,108.4,82,17420,104.2,2008
137,Clippers,41,692408,16888,--,41,16628,102.6,82,16758,206.8,2008
138,Hawks,41,667518,16280,--,41,16853,99.5,82,16567,195.7,2008
139,Nets,41,641921,15656,78.3,41,17610,107.3,82,16633,91.4,2008
140,Bucks,41,639421,15595,83.3,41,16738,103.9,82,16167,92.8,2008
141,76ers,41,609675,14870,72.7,41,17231,107.7,82,16050,88.1,2008
142,Hornets,41,603403,14717,77.4,41,17294,107.9,82,16005,91.3,2008
143,Timberwolves,41,593537,14476,76.2,41,16801,106.7,82,15639,90.0,2008
144,Pelicans,41,581432,14181,82.4,41,16905,109.7,82,15543,95.3,2008
145,Kings,41,580181,14150,81.7,41,17209,111.6,82,15680,95.8,2008
146,Thunder,41,547556,13355,78.2,41,17158,108.2,82,15257,92.7,2008
147,Grizzlies,41,523578,12770,69.4,41,16985,111.0,82,14877,88.3,2008
148,Pacers,41,501092,12221,66.6,41,17217,103.9,82,14719,84.3,2008
149,Pistons,41,896971,21877,99.1,41,18024,93.6,82,19950,96.5,2009
150,Bulls,40,847903,21197,97.6,41,17558,93.6,81,19355,95.7,2009
