,HOME_TEAM_NAME,Year,Attendance
0,Pistons,2004,872902
1,Mavericks,2004,825594
2,Bulls,2004,809177
3,76ers,2004,788128
4,NY Knicks,2004,785739
5,Jazz,2004,785330
6,Lakers,2004,777757
7,Raptors,2004,750608
8,Cavaliers,2004,749790
9,Spurs,2004,739706
10,Timberwolves,2004,723071
11,Nuggets,2004,721476
12,Kings,2004,709997
13,Bucks,2004,690180
14,Trail Blazers,2004,684038
15,Pacers,2004,678326
16,Suns,2004,670385
17,Warriors,2004,665648
18,Clippers,2004,665396
19,Celtics,2004,664248
20,Wizards,2004,645363
21,Rockets,2004,640794
22,Thunder,2004,625474
23,Heat,2004,624809
24,Grizzlies,2004,622723
25,Nets,2004,613051
26,Magic,2004,589144
27,Pelicans,2004,587613
28,Hawks,2004,565728
29,Pistons,2005,905116
30,Bulls,2005,828384
31,Mavericks,2005,822533
32,Heat,2005,815143
33,NY Knicks,2005,800144
34,Cavaliers,2005,784249
35,Lakers,2005,770494
36,Jazz,2005,769014
37,Spurs,2005,750970
38,76ers,2005,732686
39,Suns,2005,726066
40,Nuggets,2005,723949
41,Kings,2005,709997
42,Wizards,2005,705069
43,Timberwolves,2005,704438
44,Raptors,2005,703388
45,Pacers,2005,696764
46,Clippers,2005,696181
47,Grizzlies,2005,691362
48,Trail Blazers,2005,680374
49,Thunder,2005,675490
50,Warriors,2005,670368
51,Rockets,2005,663444
52,Celtics,2005,656081
53,Bucks,2005,637009
54,Nets,2005,618681
55,Magic,2005,597942
56,Hornets,2005,591701
57,Hawks,2005,586390
58,Pelicans,2005,583070
59,Pistons,2006,905116
60,Bulls,2006,868720
61,Mavericks,2006,824693
62,Heat,2006,818149
63,Cavaliers,2006,792391
64,NY Knicks,2006,776176
65,Lakers,2006,774189
66,Spurs,2006,770677
67,Jazz,2006,751621
68,Warriors,2006,749185
69,Pelicans,2006,744920
70,Suns,2006,730179
71,Clippers,2006,712409
72,Kings,2006,709997
73,Wizards,2006,705062
74,Nuggets,2006,702645
75,Raptors,2006,699332
76,Celtics,2006,692873
77,Nets,2006,691543
78,Bucks,2006,681337
79,76ers,2006,677278
80,Hornets,2006,671011
81,Thunder,2006,664157
82,Pacers,2006,663368
83,Timberwolves,2006,662167
84,Grizzlies,2006,647533
85,Magic,2006,638005
86,Rockets,2006,636110
87,Hawks,2006,617942
88,Trail Blazers,2006,617019
89,Bulls,2007,912364
90,Pistons,2007,905116
91,Cavaliers,2007,837883
92,Mavericks,2007,834411
93,Heat,2007,808541
94,Jazz,2007,802214
95,Lakers,2007,778415
96,NY Knicks,2007,771017
97,Spurs,2007,764823
98,Suns,2007,755302
99,Clippers,2007,755261
100,Wizards,2007,753283
101,Raptors,2007,748603
102,Warriors,2007,742267
103,Pelicans,2007,731165
104,Kings,2007,709997
105,Nuggets,2007,706437
106,Magic,2007,700887
107,Nets,2007,693955
108,Celtics,2007,690576
109,Rockets,2007,678362
110,Trail Blazers,2007,670778
111,Bucks,2007,663629
112,Timberwolves,2007,655947
113,Thunder,2007,654163
